header_name,price,price_for_m2
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
Brak,Brak,Brak
